article_id,parameter_class,value,unit
PMID_26930074,severity,0.245,
PMID_28719257,attack_rate,2.4,percentage
PMID_28719257,attack_rate,59.0,percentage
PMID_28719257,attack_rate,,
PMID_28719257,seroprevalence,0.024,
PMID_28719257,seroprevalence,0.0,
PMID_28719257,seroprevalence,0.9,
PMID_28719257,seroprevalence,,
PMID_32011472,attack_rate,0.0,percentage
PMID_32011472,human_delay,15.0,days
PMID_32011472,human_delay,,
PMID_32011472,seroprevalence,,
PMID_23720729,attack_rate,29.0,percentage
PMID_23720729,attack_rate,25.0,percentage
PMID_23720729,mutation_rate,,
PMID_23720729,mutation_rate,,
PMID_26291986,attack_rate,0.0,percentage
PMID_26291986,seroprevalence,0.0,
PMID_32340361,reproduction_number,1.39,
PMID_32340361,reproduction_number,0.92,
PMID_32340361,severity,0.354,
PMID_29945686,growth_rate,-0.867,other_or_unspecified
DOI_4b41fece4f07,human_delay,,
DOI_4b41fece4f07,relative_contribution,,
DOI_4b41fece4f07,severity,,
PMID_27298584,severity,,
PMID_27089550,attack_rate,1.0,percentage
PMID_27089550,attack_rate,0.2,percentage
PMID_27089550,attack_rate,0.0,percentage
PMID_27089550,attack_rate,0.2,percentage
PMID_27089550,human_delay,6.5,days
PMID_27433380,attack_rate,15.8,percentage
PMID_27433380,attack_rate,14.3,percentage
PMID_27433380,attack_rate,7.7,rate
PMID_27433380,human_delay,7.8,days
PMID_27433380,human_delay,4.8,days
PMID_27433380,human_delay,14.6,days
PMID_27433380,severity,,
PMID_26690750,reproduction_number,4.422,
PMID_30563206,attack_rate,,
PMID_31002068,attack_rate,19.0,percentage
PMID_31002068,attack_rate,17.0,percentage
PMID_31002068,attack_rate,1.4,percentage
PMID_31002068,seroprevalence,0.06,
PMID_28759623,relative_contribution,0.089,
PMID_28759623,relative_contribution,0.07,
PMID_28759623,relative_contribution,,
PMID_28759623,severity,0.33,
PMID_30882305,human_delay,10.0,days
PMID_30882305,human_delay,21.0,days
PMID_30882305,relative_contribution,0.78,
PMID_30882305,relative_contribution,,
PMID_30882305,seroprevalence,0.83,
PMID_26488195,human_delay,7.0,days
PMID_26488195,severity,,
PMID_26488195,severity,0.4,
PMID_26488195,severity,,
PMID_26488195,severity,,
PMID_30377284,attack_rate,15.0,rate
PMID_30377284,seroprevalence,0.0,
PMID_30377284,seroprevalence,0.5,
PMID_26275845,severity,0.2,
PMID_26275845,severity,0.395,
PMID_26275845,severity,0.066,
PMID_31056437,relative_contribution,0.5,
PMID_31056437,severity,0.1892,
PMID_31056437,severity,0.08,
PMID_31056437,severity,,
PMID_27433382,human_delay,6.0,days
PMID_27433382,human_delay,21.0,days
PMID_27433382,human_delay,17.0,days
PMID_27433382,severity,0.204,
PMID_27433382,severity,0.01075,
PMID_30104551,relative_contribution,30.9,
PMID_30104551,severity,,
PMID_29587190,human_delay,7.0,days
PMID_29587190,human_delay,15.0,hours
PMID_29587190,human_delay,,
PMID_31423970,human_delay,2.0,weeks
PMID_31423970,human_delay,4.0,weeks
PMID_31423970,human_delay,52.0,weeks
PMID_31423970,human_delay,14.0,days
PMID_29031518,severity,0.3203,
PMID_29031518,severity,0.3203125,
PMID_29031518,severity,0.329365,
PMID_29031518,severity,,
PMID_27704019,relative_contribution,0.9,
PMID_27704019,relative_contribution,0.8,
PMID_27704019,relative_contribution,0.06,
PMID_27704019,severity,0.43,
PMID_27704019,severity,0.42,
PMID_24324708,human_delay,6.83,days
PMID_24324708,human_delay,15.0,days
PMID_24324708,human_delay,10.0,days
PMID_24324708,severity,0.194,
PMID_31906369,growth_rate,0.316,per_day
PMID_31906369,growth_rate,-0.699,per_day
PMID_31906369,growth_rate,0.274,per_day
PMID_31906369,human_delay,2.5,days
PMID_28223175,human_delay,8.0,days
PMID_28223175,human_delay,4.0,days
PMID_28223175,severity,0.204,
PMID_28223175,severity,0.6363636363636364,
PMID_28223175,severity,0.2857142857142857,
PMID_28223175,severity,0.5333333333333333,
PMID_28223175,severity,0.3,
PMID_28223175,severity,0.6923076923076923,
PMID_28223175,severity,0.1666666666666666,
PMID_28223175,severity,0.6428571428571429,
PMID_28223175,severity,0.1818181818181818,
PMID_28223175,severity,0.5238095238095238,
PMID_28223175,severity,0.0,
PMID_28223175,severity,0.5833333333333334,
PMID_28223175,severity,0.75,
DOI_9d9811648d90,human_delay,6.8,days
DOI_9d9811648d90,severity,,
PMID_30146782,severity,,
PMID_25418612,attack_rate,0.0,percentage
PMID_25418612,seroprevalence,,
PMID_26196891,seroprevalence,0.13,
PMID_25860289,reproduction_number,0.08,
PMID_25860289,reproduction_number,0.1,
PMID_25860289,reproduction_number,0.12,
PMID_25860289,reproduction_number,0.73,
DOI_b324791fda0e,attack_rate,2.3,percentage
DOI_b324791fda0e,attack_rate,174.0,rate
DOI_b324791fda0e,attack_rate,0.23,percentage
DOI_b324791fda0e,attack_rate,17.0,rate
DOI_b324791fda0e,seroprevalence,0.023,
DOI_b324791fda0e,seroprevalence,0.0023,
DOI_b324791fda0e,seroprevalence,,
PMID_26713056,relative_contribution,87.5,
PMID_26713056,relative_contribution,12.5,
PMID_26713056,severity,0.749,
PMID_26713056,severity,0.251,
PMID_26713056,severity,,
PMID_31781765,attack_rate,0.3,percentage
PMID_31781765,attack_rate,0.7,percentage
PMID_31781765,seroprevalence,,
PMID_29223614,seroprevalence,0.09,
PMID_29223614,seroprevalence,0.5,
PMID_29223614,severity,0.8125,
PMID_28314561,relative_contribution,0.133,
PMID_28314561,severity,0.212,
PMID_28314561,severity,0.194,
PMID_32307315,human_delay,4.0,days
PMID_32307315,human_delay,15.0,days
PMID_32307315,human_delay,3.0,days
PMID_32307315,human_delay,12.0,days
PMID_32307315,relative_contribution,0.54,
PMID_32307315,relative_contribution,,
PMID_32307315,seroprevalence,1.0,
PMID_32307315,severity,0.3076923076923077,
PMID_32307315,severity,0.3445378151260504,
PMID_32307315,severity,0.1538461538461538,
PMID_32307315,severity,0.8461538461538461,
PMID_32211123,severity,0.3202027027027027,
PMID_29670390,relative_contribution,38.5,
PMID_29670390,relative_contribution,23.3,
PMID_29670390,severity,0.602,
PMID_29670390,severity,0.315,
PMID_38407189,attack_rate,1.3,percentage
PMID_38407189,attack_rate,0.3,percentage
PMID_38407189,attack_rate,1.6,percentage
PMID_38407189,attack_rate,3.1,percentage
PMID_38407189,seroprevalence,,
PMID_32546587,severity,0.36,
PMID_32546587,severity,0.629,
PMID_32546587,severity,0.61,
PMID_32546587,severity,0.67,
PMID_29593206,attack_rate,75.0,percentage
PMID_30944524,mutation_rate,,
PMID_26409794,attack_rate,3.49,rate
PMID_26409794,attack_rate,3.39,rate
PMID_26409794,relative_contribution,0.41,
PMID_26409794,relative_contribution,0.07,
PMID_26409794,relative_contribution,0.01,
PMID_26409794,relative_contribution,0.07,
PMID_26409794,relative_contribution,0.23,
PMID_26409794,severity,0.42,
PMID_26409794,severity,0.71,
PMID_26409794,severity,0.16,
PMID_31727042,severity,0.311,
PMID_31727042,severity,,
PMID_30294617,relative_contribution,0.5,
PMID_30294617,severity,,
PMID_27097824,relative_contribution,0.412,
PMID_27097824,relative_contribution,0.0,
PMID_40825940,reproduction_number,,
PMID_40825940,seroprevalence,,
PMID_27479636,human_delay,17.0,days
PMID_27479636,severity,0.238095238095238,
PMID_27314227,relative_contribution,73.0,
PMID_27314227,relative_contribution,24.0,
PMID_27314227,relative_contribution,51.0,
PMID_27314227,severity,0.12,
PMID_27314227,severity,0.36,
PMID_27314227,severity,0.35,
PMID_27358972,severity,0.37,
PMID_30659836,attack_rate,,
PMID_30659836,seroprevalence,0.2238,
PMID_27153800,human_delay,2.0,days
PMID_27153800,human_delay,9.0,days
PMID_27153800,human_delay,10.0,days
PMID_27153800,human_delay,9.0,days
PMID_27153800,human_delay,12.0,days
PMID_27153800,human_delay,10.0,days
PMID_27153800,severity,0.742,
PMID_30293534,human_delay,1.2,weeks
PMID_30293534,reproduction_number,2.58,
PMID_32370153,severity,0.371,
PMID_29656631,attack_rate,1.05,percentage
PMID_29656631,attack_rate,0.33,percentage
PMID_29656631,attack_rate,0.43,percentage
PMID_29656631,attack_rate,,
PMID_29656631,human_delay,4.8,other
PMID_29656631,human_delay,2.0,weeks
PMID_29656631,human_delay,3.0,weeks
PMID_29656631,seroprevalence,0.0006,
PMID_29656631,seroprevalence,0.0017,
PMID_29656631,seroprevalence,,
PMID_27872828,attack_rate,1.6,percentage
PMID_27872828,attack_rate,0.0,percentage
PMID_27872828,attack_rate,0.0,percentage
PMID_27872828,relative_contribution,38.0,
PMID_27872828,relative_contribution,45.0,
PMID_27872828,relative_contribution,13.0,
PMID_27872828,seroprevalence,0.0,
PMID_27872828,severity,0.5,
PMID_27872828,severity,0.4193548387096774,
PMID_27872828,severity,0.3333333333333333,
PMID_26691200,relative_contribution,90.0,
PMID_26691200,relative_contribution,78.0,
PMID_26691200,severity,0.43,
PMID_29116217,severity,0.2222222222222222,
PMID_31264567,relative_contribution,0.48235,
PMID_31264567,relative_contribution,0.51765,
PMID_31264567,severity,0.355,
PMID_24655721,seroprevalence,0.0,
PMID_32422937,mutation_rate,,
PMID_28914780,severity,0.3,
PMID_30584196,human_delay,4.5,days
PMID_30584196,human_delay,3.25,days
PMID_30584196,human_delay,8.14,days
PMID_31796154,attack_rate,,
PMID_31796154,seroprevalence,0.042,
PMID_31796154,seroprevalence,0.006,
PMID_31796154,seroprevalence,0.015,
PMID_31796154,seroprevalence,,
PMID_29202063,severity,,
DOI_21b09f0b02ae,attack_rate,27.0,percentage
PMID_32288219,severity,0.3203,
PMID_32288219,severity,,
PMID_33900908,seroprevalence,0.78,
PMID_33900908,seroprevalence,0.677,
PMID_33900908,seroprevalence,1.0,
PMID_33900908,seroprevalence,,
PMID_32354534,human_delay,7.0,days
PMID_32354534,human_delay,8.0,days
PMID_32354534,human_delay,15.0,days
PMID_32354534,human_delay,12.0,days
PMID_32354534,severity,0.373,
PMID_30292266,human_delay,,
PMID_30292266,severity,,
DOI_55fa159b3c53,severity,0.194,
DOI_55fa159b3c53,severity,,
DOI_60cad9a6fbac,seroprevalence,,
DOI_60cad9a6fbac,seroprevalence,,
PMID_28185821,severity,0.42,
PMID_28185821,severity,0.5,
PMID_28185821,severity,0.0,
PMID_28185821,severity,0.43,
PMID_27999424,mutation_rate,0.000855,substitutions_per_site_per_year
PMID_39861917,human_delay,4.0,days
PMID_39861917,human_delay,3.0,days
PMID_39861917,human_delay,3.0,days
PMID_39861917,human_delay,0.0,days
PMID_39861917,human_delay,3.0,days
PMID_39861917,human_delay,3.0,days
PMID_39861917,seroprevalence,0.024,
PMID_39861917,severity,0.00013,
PMID_34648601,seroprevalence,0.22,
PMID_34648601,seroprevalence,,
DOI_ecb58063e971,severity,0.0956600698792629,
PMID_28576573,severity,0.305,
PMID_28576573,severity,0.259,
PMID_28351976,human_delay,13.36,days
PMID_28351976,human_delay,7.87,days
PMID_28351976,human_delay,11.95,days
PMID_28351976,human_delay,29.11,days
PMID_34927715,human_delay,3.76,days
PMID_34927715,relative_contribution,26.8,
PMID_34927715,relative_contribution,36.1,
PMID_34927715,severity,0.277,
PMID_34927715,severity,,
PMID_35705986,human_delay,13.5,days
PMID_35705986,human_delay,,
PMID_35705986,reproduction_number,0.063,
PMID_35705986,reproduction_number,0.58,
PMID_35705986,reproduction_number,0.33,
DOI_49f252a3fb23,attack_rate,22.1,percentage
DOI_49f252a3fb23,seroprevalence,0.0,
DOI_49f252a3fb23,seroprevalence,0.0,
DOI_49f252a3fb23,severity,0.1935483870967742,
PMID_30439974,human_delay,9.0,days
PMID_30439974,human_delay,5.5,days
PMID_30439974,human_delay,9.0,days
PMID_30439974,human_delay,10.0,days
PMID_30439974,human_delay,12.0,days
PMID_30439974,human_delay,13.5,days
PMID_32288128,human_delay,5.3,days
PMID_32288128,human_delay,6.21,days
PMID_32288128,human_delay,11.32,days
PMID_32288128,human_delay,15.0,days
PMID_32288128,human_delay,3.55,days
PMID_32288128,severity,0.4375,
PMID_31430248,relative_contribution,0.69,
PMID_31430248,relative_contribution,,
PMID_38338005,seroprevalence,,
DOI_ce033b259b97,severity,0.2043010752688172,
PMID_26981343,reproduction_number,5.3973,
PMID_26981343,reproduction_number,0.1351,
PMID_26981343,severity,0.1935,
PMID_26981343,severity,,
PMID_33173601,attack_rate,,
PMID_33173601,seroprevalence,0.2238,
PMID_29169817,severity,0.22,
PMID_29169817,severity,0.42,
PMID_29169817,severity,,
PMID_27013745,human_delay,1.2,weeks
PMID_27013745,reproduction_number,,
DOI_2593bfcc4994,severity,0.344,
DOI_2593bfcc4994,severity,0.371,
PMID_33727906,severity,0.3436042970187609,
PMID_32761054,human_delay,4.3,days
PMID_38416834,seroprevalence,,
PMID_24964193,mutation_rate,0.0,unspecified
PMID_24964193,mutation_rate,3.1e-06,unspecified
PMID_24964193,seroprevalence,1.0,
PMID_37376437,severity,0.587,
PMID_37376437,severity,0.413,
PMID_37376437,severity,0.174,
PMID_36540698,severity,,
PMID_38988237,human_delay,4.4,days
PMID_38988237,human_delay,4.5,days
PMID_38988237,human_delay,5.5,days
PMID_38988237,human_delay,5.4,days
PMID_38988237,human_delay,8.9,days
PMID_27532807,attack_rate,4.8,percentage
PMID_27532807,attack_rate,,
PMID_27532807,human_delay,,
PMID_27532807,human_delay,,
PMID_27532807,seroprevalence,0.027,
PMID_27532807,seroprevalence,0.041,
PMID_31843456,attack_rate,,
PMID_31843456,attack_rate,,
PMID_31843456,human_delay,14.6,days
PMID_31843456,human_delay,3.0,days
PMID_31843456,human_delay,12.5,days
PMID_31843456,human_delay,11.0,days
PMID_31843456,human_delay,,
PMID_31843456,severity,0.7,
PMID_37101375,attack_rate,0.6,percentage
PMID_37101375,attack_rate,0.3,percentage
PMID_37101375,seroprevalence,0.006,
PMID_37101375,seroprevalence,0.038,
PMID_37101375,seroprevalence,0.028,
PMID_37101375,seroprevalence,,
PMID_30717685,attack_rate,,
PMID_30717685,human_delay,2.0,days
PMID_30717685,human_delay,14.0,days
PMID_30717685,human_delay,6.0,days
DOI_c23dc39a138a,human_delay,47.0,days
DOI_c23dc39a138a,human_delay,,
DOI_c23dc39a138a,severity,,
PMID_30103157,severity,,
PMID_27780489,attack_rate,31.0,percentage
PMID_27780489,attack_rate,0.0,percentage
PMID_27780489,attack_rate,36.0,percentage
PMID_27780489,attack_rate,3.2,percentage
PMID_27780489,attack_rate,,
PMID_27780489,human_delay,4.0,days
PMID_27780489,human_delay,3.0,days
PMID_30775355,attack_rate,0.06,percentage
PMID_30775355,attack_rate,0.17,percentage
PMID_30775355,attack_rate,28.6,percentage
PMID_30775355,attack_rate,28.31,percentage
PMID_30775355,attack_rate,,
PMID_30775355,seroprevalence,0.0006,
PMID_30775355,seroprevalence,,
DOI_f4225c36550a,human_delay,5.0,days
DOI_f4225c36550a,severity,0.326,
PMID_35272105,severity,0.36,
PMID_36146717,mutation_rate,0.012,substitutions_per_site_per_year
PMID_36146717,mutation_rate,0.0054,substitutions_per_site_per_year
PMID_33797350,severity,0.0082,
PMID_30240813,human_delay,14.0,days
PMID_30240813,human_delay,21.0,days
PMID_30240813,human_delay,6.0,days
PMID_30240813,human_delay,8.0,days
PMID_30240813,severity,0.204,
PMID_30240813,severity,0.556,
PMID_30240813,severity,0.011,
PMID_29624866,human_delay,5.0,days
PMID_29624866,relative_contribution,0.015,
PMID_29624866,relative_contribution,0.053,
DOI_1a06519e425e,reproduction_number,0.77,
PMID_31640578,human_delay,8.7,days
PMID_31640578,human_delay,17.4,days
PMID_31640578,severity,0.253968,
PMID_31640578,severity,0.229508,
PMID_39822038,seroprevalence,1.0,
PMID_28820379,seroprevalence,0.0,
PMID_28820379,seroprevalence,0.0,
PMID_30578142,attack_rate,27.0,percentage
PMID_30578142,human_delay,,
PMID_30578142,relative_contribution,0.27,
PMID_30578142,severity,,
PMID_34325501,human_delay,,
PMID_34325501,severity,0.53,
PMID_39854481,human_delay,3.7,days
PMID_29649550,attack_rate,17.0,rate
PMID_29649550,attack_rate,4.5,percentage
PMID_29649550,human_delay,5.5,days
PMID_29649550,human_delay,6.5,days
PMID_29649550,human_delay,14.0,days
PMID_29649550,human_delay,14.5,days
PMID_26629538,severity,,
PMID_24274664,attack_rate,2.3,percentage
PMID_24274664,attack_rate,3.3,percentage
PMID_24274664,attack_rate,,
PMID_24274664,seroprevalence,,
PMID_28728926,severity,,
PMID_28774161,severity,0.205,
DOI_2c24d35e2362,severity,,
PMID_25148267,attack_rate,,
PMID_29105044,relative_contribution,0.32,
PMID_29105044,severity,0.0,
PMID_30690213,human_delay,8.0,days
PMID_30690213,human_delay,8.0,days
PMID_30690213,human_delay,26.0,days
PMID_30690213,human_delay,,
PMID_30690213,severity,,
PMID_27826140,human_delay,15.0,days
PMID_27826140,human_delay,9.0,days
PMID_27826140,human_delay,,
PMID_27826140,severity,,
PMID_27374711,human_delay,11.0,days
PMID_27374711,severity,0.365,
PMID_27374711,severity,0.589,
PMID_27374711,severity,0.251,
DOI_0bec1d3cc808,human_delay,21.0,days
PMID_33754992,attack_rate,1.1,percentage
PMID_41269025,mutation_rate,0.00044,substitutions_per_site_per_year
PMID_26079433,attack_rate,0.4,percentage
PMID_26079433,attack_rate,8.4,percentage
PMID_26079433,attack_rate,7.6,percentage
PMID_26079433,attack_rate,2.7,percentage
PMID_26079433,seroprevalence,0.004,
PMID_31625860,attack_rate,1.0,rate
PMID_31625860,attack_rate,,
PMID_31625860,relative_contribution,0.15,
PMID_31625860,relative_contribution,0.16,
PMID_31625860,relative_contribution,0.5,
PMID_31625860,seroprevalence,,
PMID_31625860,severity,0.3770491803278688,
PMID_31625860,severity,0.5238095238095238,
DOI_a671400c57b1,attack_rate,5.0,percentage
DOI_a671400c57b1,attack_rate,0.15,percentage
PMID_26291541,attack_rate,23.1,percentage
PMID_26291541,attack_rate,49.2,percentage
PMID_26291541,attack_rate,2.6,percentage
PMID_26291541,attack_rate,2.6,percentage
PMID_26291541,attack_rate,,
PMID_27648640,attack_rate,0.15,percentage
DOI_4c9b6ec200fa,human_delay,8.7,days
DOI_4c9b6ec200fa,human_delay,21.0,days
PMID_27432904,severity,,
PMID_39569349,human_delay,4.03,days
PMID_39569349,human_delay,6.62,days
PMID_39569349,human_delay,7.0,days
PMID_39569349,severity,0.343,
PMID_41305741,attack_rate,14.97,percentage
PMID_41305741,attack_rate,14.9,percentage
PMID_41305741,attack_rate,9.8,percentage
PMID_41305741,attack_rate,3.3,percentage
PMID_41305741,attack_rate,6.4,percentage
PMID_41305741,human_delay,21.0,days
PMID_41305741,human_delay,17.0,days
PMID_41305741,human_delay,11.5,days
PMID_41305741,human_delay,6.0,days
PMID_41305741,human_delay,0.0,days
PMID_41305741,human_delay,34.0,days
PMID_41305741,human_delay,68.0,days
PMID_41305741,severity,,
PMID_40201811,seroprevalence,,
PMID_36279687,severity,0.15,
PMID_36279687,severity,0.95,
PMID_36279687,severity,0.05,
PMID_35758380,severity,0.204,
PMID_35698685,human_delay,5.8,days
PMID_35698685,human_delay,22.4,days
PMID_35698685,human_delay,5.5,days
PMID_33668428,human_delay,9.0,days
PMID_33668428,reproduction_number,0.91,
PMID_33668428,reproduction_number,0.95,
PMID_33668428,reproduction_number,,
PMID_33035474,attack_rate,0.0,percentage
PMID_33035474,attack_rate,0.0,percentage
PMID_33035474,seroprevalence,,
PMID_32471334,attack_rate,5.1,percentage
PMID_32471334,seroprevalence,0.051,
PMID_32353870,attack_rate,,
PMID_32353870,seroprevalence,0.2238,
PMID_32042254,severity,,
PMID_31006635,human_delay,5.0,days
PMID_31006635,human_delay,4.0,days
PMID_31006635,human_delay,2.0,days
PMID_31006635,relative_contribution,0.305,
PMID_31006635,relative_contribution,0.35,
PMID_30884185,human_delay,5.0,days
PMID_30884185,human_delay,7.0,days
PMID_30884185,human_delay,8.0,days
PMID_30884185,human_delay,22.0,days
PMID_30884185,severity,0.6666666666666666,
PMID_29354394,human_delay,6.6,days
PMID_27671972,seroprevalence,0.0152,
PMID_27671972,seroprevalence,0.0015,
PMID_25701855,human_delay,14.0,days
PMID_25701855,human_delay,8.0,days
PMID_25701855,human_delay,17.0,days
