article_id,model_type,compartmental_type
18772,Compartmental,SEIR
18772,Compartmental,Other compartmental
18772,Compartmental,SEIR
17279,Compartmental,Other compartmental
45,Branching process,Not compartmental
5997,Compartmental,SEIR
5997,Compartmental,Other compartmental
5997,Compartmental,Other compartmental
6363,Compartmental,SIR
6363,Compartmental,SIR
6334,Compartmental,Other compartmental
5952,Compartmental,Other compartmental
2546,Compartmental,Other compartmental
17956,Compartmental,SEIR
17956,Compartmental,SEIR
17956,Compartmental,SEIR
17956,Compartmental,SEIR
505,Other,Not compartmental
505,Other,Not compartmental
505,Other,Not compartmental
847,Branching process,Not compartmental
847,Branching process,Not compartmental
18147,Compartmental,Other compartmental
19719,Compartmental,SEIR
19049,Compartmental,SEIR
19490,Compartmental,Other compartmental
19490,Compartmental,Other compartmental
5288,Compartmental,SEIR
5288,Agent / Individual based,Not compartmental
5288,Compartmental,SEIR
5288,Compartmental,SEIR
5288,Compartmental,SEIR
3927,Branching process,Not compartmental
3927,Branching process,Not compartmental
22692,Compartmental,Other compartmental
22692,Compartmental,Other compartmental
24286,Branching process,Not compartmental
24286,Branching process,Not compartmental
24286,Branching process,Not compartmental
19023,Compartmental,SIR
19023,Compartmental,SIR
4778,Compartmental,Other compartmental
4778,Compartmental,Other compartmental
4778,Compartmental,Other compartmental
21510,Agent / Individual based,Not compartmental
21510,Compartmental,Other compartmental
21510,Compartmental,Other compartmental
18944,Compartmental,SIR
18944,Compartmental,SIR
18944,Compartmental,SEIR
3569,Other,Not compartmental
20428,Compartmental,SEIR
20428,Compartmental,SEIR
16865,Branching process,Not compartmental
15958,Other,Not compartmental
15958,Other,Not compartmental
15958,Other,Not compartmental
525,Compartmental,SEIR
525,Agent / Individual based,Not compartmental
18863,Compartmental,SIR
18863,Compartmental,Other compartmental
18863,Agent / Individual based,Not compartmental
1636,Compartmental,Other compartmental
1636,Compartmental,SIR
1636,Compartmental,Other compartmental
1636,Compartmental,SEIR
