title,article_id,ai4epi_abstract_decision,downloaded
Recombinant Vesicular Stomatitis Virus–Based Vaccines Against Ebola and Marburg Virus Infections,PMID_21987744,EXCLUDE,True
VP24 of Marburg Virus Influences Formation of Infectious Particles,PMID_16227263,EXCLUDE,True
Viral Emerging Diseases: Challenges in Developing Vaccination Strategies,PMID_33013898,EXCLUDE,True
Live-cell imaging of Marburg virus-infected cells uncovers actin-dependent transport of nucleocapsids over long distances,PMID_23940347,EXCLUDE,True
Marburg Virus Persistence on Fruit as a Plausible Route of Bat to Primate Filovirus Transmission,PMID_34960663,EXCLUDE,True
"Epidemiological description of Marburg virus disease outbreak in Kagera region, Northwestern Tanzania",PMID_39236024,INCLUDE,True
"Response to Imported Case of Marburg Hemorrhagic Fever, the Netherlands",PMID_19751577,EXCLUDE,True
Ebola Virus Disease in West Africa — The First 9 Months of the Epidemic and Forward Projections,PMID_25244186,EXCLUDE,True
A Single Amino Acid Change in the Marburg Virus Glycoprotein Arises during Serial Cell Culture Passages and Attenuates the Virus in a Macaque Model of Disease,PMID_29299527,EXCLUDE,True
Digital Sensing and Sizing of Vesicular Stomatitis Virus Pseudotypes in Complex Media: A Model for Ebola and Marburg Detection,PMID_24840765,EXCLUDE,True
Efficacy of the broad-spectrum antiviral compound BCX4430 against Zika virus in cell culture and in a mouse model,PMID_27838352,EXCLUDE,True
Modelling Vaccination Strategies for the Control of Marburg Virus Disease Outbreaks,DOI_6d8c167ba9db,INCLUDE,True
"COVID-2019: update on epidemiology, disease spread and management",DOI_5cac169c4ad2,EXCLUDE,True
Bats as reservoirs of severe emerging infectious diseases,PMID_25997928,EXCLUDE,True
Neglected filoviruses,PMID_27268907,EXCLUDE,True
A case of Ebola virus infection.,PMID_890413,EXCLUDE,True
Marburg Virus and Risk Factor Among Infected Population: A Modeling Study,DOI_e759f6dc0b06,INCLUDE,True
Interaction with Tsg101 Is Necessary for the Efficient Transport and Release of Nucleocapsids in Marburg Virus-Infected Cells,PMID_25330247,EXCLUDE,True
Marburg virus in Egyptian Rousettus bats in Guinea: Investigation of Marburg virus outbreak origin in 2021,PMID_37099617,EXCLUDE,True
Inhibition of Ebola and Marburg Virus Entry by G Protein-Coupled Receptor Antagonists,PMID_26202243,EXCLUDE,True
Marburg virus disease,PMID_4207635,EXCLUDE,True
Novel Insights Into Immune Systems of Bats,PMID_32117225,EXCLUDE,True
Laboratory biosafety measures involving SARS-CoV-2 and the classification as a Risk Group 3 biological agent,PMID_33070960,EXCLUDE,True
Neurologic Manifestations of the World Health Organization's List of Pandemic and Epidemic Diseases,PMID_33692745,EXCLUDE,True
Gene-Specific Countermeasures against Ebola Virus Based on Antisense Phosphorodiamidate Morpholino Oligomers,PMID_16415982,EXCLUDE,True
Recombinant Marburg viruses containing mutations in the IID region of VP35 prevent inhibition of Host immune responses,PMID_25531184,EXCLUDE,True
"Response to Imported Case of Marburg Hemorrhagic Fever, the Netherlands",DOI_d7a63f3ac26c,INCLUDE,True
Transmission dynamics and control of Ebola virus disease (EVD): a review,PMID_25300956,EXCLUDE,True
Bat Flight and Zoonotic Viruses,PMID_24750692,EXCLUDE,True
Marburg virus disease outbreak in Tanzania: current efforts and recommendations – a short communication,PMID_37554886,INCLUDE,True
Risk Factors Associated with Ebola and Marburg Viruses Seroprevalence in Blood Donors in the Republic of Congo,PMID_26047124,INCLUDE,True
Experimental Inoculation of Egyptian Rousette Bats (Rousettus aegyptiacus) with Viruses of the Ebolavirus and Marburgvirus Genera,PMID_26120867,EXCLUDE,True
Pathogenicity and virulence of Marburg virus,PMID_35363588,EXCLUDE,True
One Health Approach for the Control of Zoonotic Diseases,DOI_0f33d50c74de,EXCLUDE,True
Comprehensive Analysis of Ebola Virus GP1 in Viral Entry,PMID_15795265,EXCLUDE,True
Comparison of the Pathogenesis of the Angola and Ravn Strains of Marburg Virus in the Outbred Guinea Pig Model,PMID_26092858,EXCLUDE,True
Novel mutations in Marburg virus glycoprotein associated with viral evasion from antibody mediated immune pressure,PMID_23288419,EXCLUDE,True
"Distinct Patterns of IFITM-Mediated Restriction of Filoviruses, SARS Coronavirus, and Influenza A Virus",PMID_21253575,EXCLUDE,True
Potential Mammalian Filovirus Reservoirs,PMID_15663841,EXCLUDE,True
Sorting of Marburg Virus Surface Protein and Virus Release Take Place at Opposite Surfaces of Infected Polarized Epithelial Cells,PMID_11152500,EXCLUDE,True
Marburg virus disease: A deadly rare virus is coming,PMID_35908851,EXCLUDE,True
Induction and suppression of antiviral RNA interference by influenza A virus in mammalian cells,PMID_27918527,EXCLUDE,True
Vesicular Stomatitis Virus-Based Vaccines for Prophylaxis and Treatment of Filovirus Infections,PMID_22288023,EXCLUDE,True
A platform trial design for preventive vaccines against Marburg virus and other emerging infectious disease threats,PMID_35866633,EXCLUDE,True
"Ebola research funding: a systematic analysis, 1997–2015",PMID_27909582,EXCLUDE,True
Structural dissection of Ebola virus and its assembly determinants using cryo-electron tomography,PMID_22371572,EXCLUDE,True
Lipid Raft Microdomains,PMID_11877482,EXCLUDE,True
Can Marburg virus be sexually transmitted?,PMID_39100711,EXCLUDE,True
Molecular Evolution of Viruses of the Family Filoviridae Based on 97 Whole-Genome Sequences,PMID_23255795,INCLUDE,True
Development of a Well-Characterized Cynomolgus Macaque Model of Marburg Virus Disease for Support of Vaccine and Therapy Development,PMID_36016203,EXCLUDE,True
Protection Against Marburg Virus Using a Recombinant VSV-Vaccine Depends on T and B Cell Activation,PMID_30723475,EXCLUDE,True
Marburg Virus Evades Interferon Responses by a Mechanism Distinct from Ebola Virus,PMID_20084112,EXCLUDE,True
"Recombinant Protein Filovirus Vaccines Protect Cynomolgus Macaques From Ebola, Sudan, and Marburg Viruses",PMID_34484200,EXCLUDE,True
Toremifene interacts with and destabilizes the Ebola virus glycoprotein,PMID_27362232,EXCLUDE,True
Marburg Virus Outbreak in Equatorial Guinea: Need for Speed,PMID_38273871,EXCLUDE,True
"Differential Sensitivity of Bat Cells to Infection by Enveloped RNA Viruses: Coronaviruses, Paramyxoviruses, Filoviruses, and Influenza Viruses",PMID_24023659,EXCLUDE,True
BCX4430 – A broad-spectrum antiviral adenosine nucleoside analog under development for the treatment of Ebola virus disease,PMID_27095300,EXCLUDE,True
Vaccines against Ebola virus and Marburg virus: recent advances and promising candidates,PMID_31589088,EXCLUDE,True
Pathophysiology of Ebola Virus Infection: Current Challenges and Future Hopes,PMID_27622648,EXCLUDE,True
"Outbreak of Marburg Virus Disease, Equatorial Guinea, 2023",PMID_40180579,INCLUDE,True
A PPxY motif within the VP40 protein of Ebola virus interacts physically and functionally with a ubiquitin ligase: Implications for filovirus budding,PMID_11095724,EXCLUDE,True
Repeated outbreaks of Viral hemorrhagic fevers in Uganda,PMID_23516123,EXCLUDE,True
Diagnostics for filovirus detection: impact of recent outbreaks on the diagnostic landscape,PMID_30899573,EXCLUDE,True
"Evidence-Based Guidance for One Health Preparedness, Prevention, and Response Strategies to Marburg Virus Disease Outbreaks",PMID_39727639,EXCLUDE,True
Vesicular stomatitis virus-based vaccines protect nonhuman primates against aerosol challenge with Ebola and Marburg viruses,PMID_18930776,EXCLUDE,True
Marburg Virus and Monkeypox Virus: The Concurrent Outbreaks in Ghana and the lesson learned from the Marburg Virus Containment,DOI_452c546048b4,INCLUDE,True
Detection of all known filovirus species by reverse transcription-polymerase chain reaction using a primer set specific for the viral nucleoprotein gene,PMID_21093485,EXCLUDE,True
Antiviral therapies against Ebola and other emerging viral diseases using existing medicines that block virus entry,PMID_26069727,EXCLUDE,True
Genomic analysis of filoviruses associated with four viral hemorrhagic fever outbreaks in Uganda and the Democratic Republic of the Congo in 2012,PMID_23711383,EXCLUDE,True
Role of EXT1 and Glycosaminoglycans in the Early Stage of Filovirus Entry,PMID_25741008,EXCLUDE,True
Prospects for immunisation against Marburg and Ebola viruses,PMID_20658513,EXCLUDE,True
Scoping future outbreaks: a scoping review on the outbreak prediction of the WHO Blueprint list of priority diseases,PMID_34531189,EXCLUDE,True
World Health Organization High Priority Pathogens: Ophthalmic Disease Findings and Vision Health Perspectives,PMID_33917710,EXCLUDE,True
Outbreak of Marburg Hemorrhagic Fever in Angola: A Review of the History of the Disease and its Biological Aspects,PMID_16044395,EXCLUDE,True
Simian hemorrhagic fever virus infection of rhesus macaques as a model of viral hemorrhagic fever: Clinical characterization and risk factors for severe disease,PMID_22014505,EXCLUDE,True
Delayed Time-to-Treatment of an Antisense Morpholino Oligomer Is Effective against Lethal Marburg Virus Infection in Cynomolgus Macaques,PMID_26901785,EXCLUDE,True
Filoviruses and bats,PMID_28603449,EXCLUDE,True
Filovirus Replication and Transcription,PMID_24093048,EXCLUDE,True
Ebola virus disease candidate vaccines under evaluation in clinical trials,PMID_27160784,EXCLUDE,True
Duration of Maternal Antibodies against Canine Distemper Virus and Hendra Virus in Pteropid Bats,PMID_23826322,EXCLUDE,True
Understanding the dynamics of Ebola epidemics,PMID_16999875,EXCLUDE,True
Lassa and mopeia virus replication in human monocytes/macrophages and in endothelial cells: Different effects on IL-8 and TNF-? gene expression,PMID_10534741,EXCLUDE,True
Knowledge and attitude towards Ebola and Marburg virus diseases in Uganda using quantitative and participatory epidemiology techniques,PMID_28892520,EXCLUDE,True
The Ebola virus VP35 protein binds viral immunostimulatory and host RNAs identified through deep sequencing,PMID_28636653,EXCLUDE,True
Marburg virus outbreak in Tanzania: A threat to global health security,PMID_40496799,INCLUDE,True
VP35 Knockdown Inhibits Ebola Virus Amplification and Protects against Lethal Infection in Mice,PMID_16495261,EXCLUDE,True
Identification of Ellagic Acid from Plant Rhodiola rosea L. as an Anti-Ebola Virus Entry Inhibitor,PMID_29584652,EXCLUDE,True
Detection of Nipah Virus RNA in Fruit Bat (Pteropus giganteus) from India,PMID_22802440,EXCLUDE,True
Inhibition of Filovirus Replication by the Zinc Finger Antiviral Protein,DOI_e8a06d7df79f,EXCLUDE,True
Infection and Activation of Monocytes by Marburg and Ebola Viruses,PMID_11602743,EXCLUDE,True
Ebola Virus Glycoprotein 1: Identification of Residues Important for Binding and Postbinding Events,PMID_17475648,EXCLUDE,True
Serosurveillance of viral pathogens circulating in West Africa,DOI_af2f2ff75814,INCLUDE,True
A reflection on the Marburg virus outbreak in Tanzania: the importance of preparedness and prevention in public health – a correspondence,PMID_37228906,EXCLUDE,True
Could the Ebola virus matrix protein VP40 be a drug target?,PMID_24283270,EXCLUDE,True
The SPIN framework to control and prevent the Marburg virus disease outbreak in Equatorial Guinea.,PMID_37250680,EXCLUDE,True
Development of a model for marburgvirus based on severe-combined immunodeficiency mice,PMID_17961252,EXCLUDE,True
Discovery and Early Development of AVI-7537 and AVI-7288 for the Treatment of Ebola Virus and Marburg Virus Infections,PMID_23202506,EXCLUDE,True
Rodent-Adapted Filoviruses and the Molecular Basis of Pathogenesis,PMID_27189922,EXCLUDE,True
"Type I Interferon Reaction to Viral Infection in Interferon-Competent, Immortalized Cell Lines from the African Fruit Bat Eidolon helvum",PMID_22140523,EXCLUDE,True
A prophylactic multivalent vaccine against different filovirus species is immunogenic and provides protection from lethal infections with Ebolavirus and Marburgvirus species in non-human primates,PMID_29462200,EXCLUDE,True
Going to Bat(s) for Studies of Disease Tolerance,PMID_30294323,EXCLUDE,True
Evasion of Interferon Responses by Ebola and Marburg Viruses,PMID_19694547,EXCLUDE,True
"Predicting the combined effects of case isolation, safe funeral practices, and contact tracing during Ebola virus disease outbreaks",PMID_36649296,EXCLUDE,True
Infectious Disease Threats in the Twenty-First Century: Strengthening the Global Response,PMID_30984169,EXCLUDE,True
A comparative analysis of Marburg virus-infected bat and human models from public high-throughput sequencing data,PMID_39744175,EXCLUDE,True
A Methodology for Determining Which Diseases Warrant Care in a High-Level Containment Care Unit,PMID_31443440,EXCLUDE,True
Local Mutational Pressures in Genomes of Zaire Ebolavirus and Marburg Virus,PMID_26798338,EXCLUDE,True
Fiebre chikungunya - Una nueva amenaza global,PMID_25087211,EXCLUDE,True
Human Macrophage C-Type Lectin Specific for Galactose and<i>N</i>-Acetylgalactosamine Promotes Filovirus Entry,PMID_14990712,EXCLUDE,True
Rescue of Recombinant Marburg Virus from cDNA Is Dependent on Nucleocapsid Protein VP30,PMID_16379005,EXCLUDE,True
Seroepidemiological Prevalence of Multiple Species of Filoviruses in Fruit Bats (<i>Eidolon helvum</i>) Migrating in Africa,PMID_25786916,EXCLUDE,True
Deep Sequencing Identifies Noncanonical Editing of Ebola and Marburg Virus RNAs in Infected Cells,PMID_25370495,EXCLUDE,True
Macaque Monoclonal Antibodies Targeting Novel Conserved Epitopes within Filovirus Glycoprotein,PMID_26468532,EXCLUDE,True
The neglected continuously emerging Marburg virus disease in Africa: A global public health threat,PMID_37908639,EXCLUDE,True
ITCH E3 Ubiquitin Ligase Interacts with Ebola Virus VP40 To Regulate Budding,PMID_27489272,EXCLUDE,True
Marburg virus disease outbreak in Guinea: a SPIN framework of its transmission and control measures for an exemplary response pattern in West Africa.,PMID_34925678,INCLUDE,True
Dimerization of Tetherin Is Not Essential for Its Antiviral Activity against Lassa and Marburg Viruses,PMID_19742323,EXCLUDE,True
"Marburgvirus in Egyptian Fruit Bats, Zambia",PMID_31146800,EXCLUDE,True
The Ebola Virus VP30-NP Interaction Is a Regulator of Viral RNA Synthesis,PMID_27755595,EXCLUDE,True
Immunology of Bats and Their Viruses: Challenges and Opportunities,PMID_25494448,EXCLUDE,True
Small-Molecule Probes Targeting the Viral PPxY-Host Nedd4 Interface Block Egress of a Broad Range of RNA Viruses,PMID_24741084,EXCLUDE,True
Ebola and other viral haemorrhagic fevers,DOI_3a9ff7b69f42,EXCLUDE,True
"An update on the progress of galidesivir (BCX4430), a broad-spectrum antiviral",PMID_34551346,EXCLUDE,True
The Egyptian Rousette Genome Reveals Unexpected Features of Bat Antiviral Immunity,PMID_29706541,EXCLUDE,True
Antiviral therapies against Ebola and other emerging viral diseases using existing medicines that block virus entry,DOI_0cf5fe54df94,EXCLUDE,True
A bibliometric study on Marburg virus research with prevention and control strategies,DOI_8293c634b341,EXCLUDE,True
Rise of Marburg virus in Africa: a call for global preparedness,DOI_c99c8fff9b33,EXCLUDE,True
Mouse Models for Filovirus Infections,PMID_23170168,EXCLUDE,True
Dimerization Controls Marburg Virus VP24-dependent Modulation of Host Antioxidative Stress Responses,PMID_27497688,EXCLUDE,True
Vaccine Platform Comparison: Protective Efficacy against Lethal Marburg Virus Challenge in the Hamster Model,PMID_39126087,EXCLUDE,True
"Ebola virus outbreak, updates on current therapeutic strategies",PMID_25962887,EXCLUDE,True
Identifying Reservoirs of Infection: A Conceptual and Practical Challenge,PMID_12498665,EXCLUDE,True
Bats in ecosystems and their Wide spectrum of viral infectious potential threats: SARS-CoV-2 and other emerging viruses,PMID_32829048,EXCLUDE,True
The current and future global distribution and population at risk of dengue,PMID_31182801,EXCLUDE,True
Dose Response of MARV/Angola Infection in Cynomolgus Macaques following IM or Aerosol Exposure,PMID_26413900,EXCLUDE,True
Combination therapy protects macaques against advanced Marburg virus disease,PMID_33767178,EXCLUDE,True
Investing in preparedness for rapid detection and control of epidemics: analysis of health system reforms and their effect on 2021 Ebola virus disease epidemic response in Guinea,PMID_36599498,EXCLUDE,True
Occupational hazards in hospitals: risk of infection.,PMID_3304395,EXCLUDE,True
"Ebola, COVID-19, and emerging infectious disease: lessons learned and future preparedness",PMID_32740063,EXCLUDE,True
"Shedding of Marburg Virus in Naturally Infected Egyptian Rousette Bats, South Africa, 2017",PMID_33219802,EXCLUDE,True
"Bushmeat Hunting, Deforestation, and Prediction of Zoonotic Disease",PMID_16485465,EXCLUDE,True
Single Dose of a VSV-Based Vaccine Rapidly Protects Macaques From Marburg Virus Disease,PMID_34777392,EXCLUDE,True
Recent outbreak of Marburg virus disease: Could it be a threat for global public health?,PMID_36467750,EXCLUDE,True
The Current Pathogenicity and Potential Risk Evaluation of Marburg Virus to Cause Mysterious “Disease X”—An Update on Recent Evidences,PMID_38440221,EXCLUDE,True
Marburg Virus Disease – A Mini-Review,DOI_d33e532b2982,EXCLUDE,True
Immune Responses to Novel Adenovirus Type 26 and Modified Vaccinia Virus Ankara–Vectored Ebola Vaccines at 1 Year,PMID_28291882,EXCLUDE,True
Vesicular Stomatitis Virus-Based Vaccines Protect Nonhuman Primates against Bundibugyo ebolavirus,PMID_24367715,EXCLUDE,True
Structure-Based Design of Prefusion-Stabilized Filovirus Glycoprotein Trimers,PMID_32234486,EXCLUDE,True
"Epidemiology, pathophysiology, transmission, genomic structure, treatment, and future perspectives of the novel Marburg virus outbreak",PMID_36799786,EXCLUDE,True
Differential transcriptional responses to Ebola and Marburg virus infection in bat and human cells,PMID_27713552,EXCLUDE,True
Advancements in Marburg (MARV) Virus Vaccine Research With Its Recent Reemergence in Equatorial Guinea and Tanzania: A Scoping Review,PMID_37593293,EXCLUDE,True
Bat Coronaviruses in China,PMID_30832341,EXCLUDE,True
Protective mAbs and Cross-Reactive mAbs Raised by Immunization with Engineered Marburg Virus GPs,PMID_26115029,EXCLUDE,True
Oral obeldesivir provides postexposure protection against Marburg virus in nonhuman primates,PMID_39805309,EXCLUDE,True
Single-dose attenuated Vesiculovax vaccines protect primates against Ebola Makona virus,PMID_25853476,EXCLUDE,True
Current perspectives on the phylogeny of Filoviridae,PMID_21742058,EXCLUDE,True
Marburg virus outbreaks in Africa,DOI_77deaa4c2f8c,EXCLUDE,True
Identification of a coumarin-based antihistamine-like small molecule as an anti-filoviral entry inhibitor,PMID_28645623,EXCLUDE,True
Biochemical Analysis of the Secreted and Virion Glycoproteins of Ebola Virus,PMID_9658086,EXCLUDE,True
Use of immunoelectron microscopy to show Ebola virus during the 1989 United States epizootic.,PMID_2229429,EXCLUDE,True
Evaluation of Perceived Threat Differences Posed by Filovirus Variants,PMID_22070137,EXCLUDE,True
A highly attenuated Vesiculovax vaccine rapidly protects nonhuman primates against lethal Marburg virus challenge,PMID_35622847,EXCLUDE,True
No exit: Targeting the budding process to inhibit filovirus replication,PMID_19114059,EXCLUDE,True
The pig as a mixing vessel for influenza viruses: Human and veterinary implications,PMID_19565018,EXCLUDE,True
Monitoring Symptoms of Infectious Diseases: Perspectives for Printed Wearable Sensors,PMID_34072174,EXCLUDE,True
The Pathogenesis of Ebola Virus Disease,PMID_27959626,EXCLUDE,True
"Isolated Case of Marburg Virus Disease, Kampala, Uganda, 2014",PMID_28518032,EXCLUDE,True
"Lowland grazing and Marburg virus disease (MVD) outbreak in Kween district, Eastern Uganda",PMID_30704427,EXCLUDE,True
Favipiravir Pharmacokinetics in Nonhuman Primates and Insights for Future Efficacy Studies of Hemorrhagic Fever Viruses,PMID_27736754,EXCLUDE,True
Filoviruses Require Endosomal Cysteine Proteases for Entry but Exhibit Distinct Protease Preferences,PMID_22238307,EXCLUDE,True
Variation in the Glycoprotein and VP35 Genes of Marburg Virus Strains,PMID_9448698,EXCLUDE,True
Establishment of pseudovirus infection mouse models for in vivo pharmacodynamics evaluation of filovirus entry inhibitors,PMID_29719780,EXCLUDE,True
"Marburg Virus Infection in Egyptian Rousette Bats, South Africa, 2013–20141",PMID_29774854,EXCLUDE,True
Infection fatality rate of SARS-CoV2 in a super-spreading event in Germany,PMID_33203887,EXCLUDE,True
"Development of a TaqMan Array Card for Acute-Febrile-Illness Outbreak Investigation and Surveillance of Emerging Pathogens, Including Ebola Virus",PMID_26491176,EXCLUDE,True
Designing of a Multi-epitope Vaccine against the Structural Proteins of Marburg Virus Exploiting the Immunoinformatics Approach,PMID_34870027,EXCLUDE,True
Mechanism of Human Antibody-Mediated Neutralization of Marburg Virus,PMID_25723164,EXCLUDE,True
Infection fatality rate of SARS-CoV-2 infection in a German community with a super-spreading event,DOI_ef7aaea7c9f3,EXCLUDE,True
Marburg and Ravn Viruses Fail to Cause Disease in the Domestic Ferret (Mustela putorius furo),PMID_29955887,EXCLUDE,True
The Ebola virus ribonucleoprotein complex: A novel VP30–L interaction identified,PMID_19041915,EXCLUDE,True
Chaperone-Mediated Autophagy Protein BAG3 Negatively Regulates Ebola and Marburg VP40-Mediated Egress,PMID_28723972,EXCLUDE,True
Multiplexed rapid antigen tests developed using multicolored nanoparticles and cross-reactive antibody pairs: Implications for pandemic preparedness,PMID_36348742,EXCLUDE,True
"Cross-Protection against Marburg Virus Strains by Using a Live, Attenuated Recombinant Vaccine",PMID_16973570,EXCLUDE,True
Impact of Globalization and Animal Trade on Infectious Disease Ecology,PMID_18258027,EXCLUDE,True
Quadrivalent VesiculoVax vaccine protects nonhuman primates from viral-induced hemorrhagic fever and death,PMID_31820871,EXCLUDE,True
"VP40, the Matrix Protein of Marburg Virus, Is Associated with Membranes of the Late Endosomal Compartment",PMID_11799178,EXCLUDE,True
Offering patients more: how the West Africa Ebola outbreak can shape innovation in therapeutic research for emerging and epidemic infections,PMID_28396467,EXCLUDE,True
"Fractional-order model for marburg virus transmission: assessing the impact of awareness, burial and cremation practices",DOI_4efb0b93ae5b,INCLUDE,True
Genomic Evolution and Phylodynamics of the Species Orthomarburgvirus marburgense (Marburg and Ravn Viruses) to Understand Viral Adaptation and Marburg Virus Disease’s Transmission Dynamics,PMID_39770366,INCLUDE,True
Discovery and Structural Optimization of 4-(Aminomethyl)benzamides as Potent Entry Inhibitors of Ebola and Marburg Virus Infections,PMID_32490678,EXCLUDE,True
Calcium Regulation of Hemorrhagic Fever Virus Budding: Mechanistic Implications for Host-Oriented Therapeutic Intervention,PMID_26513362,EXCLUDE,True
"One Health, emerging infectious diseases and wildlife: two decades of progress?",PMID_28584175,EXCLUDE,True
The origin of major human infections and the crucial role of person-to-person spread,PMID_2050199,EXCLUDE,True
Therapeutic treatment of Marburg and Ravn virus infection in nonhuman primates with a human monoclonal antibody,PMID_28381540,EXCLUDE,True
Spillover and pandemic properties of zoonotic viruses with high host plasticity,PMID_26445169,EXCLUDE,True
Serological Evidence of Ebola Virus Infection in Indonesian Orangutans,PMID_22815803,EXCLUDE,True
"Rift Valley fever virus (<i>Bunyaviridae: Phlebovirus</i>): an update on pathogenesis, molecular epidemiology, vectors, diagnostics and prevention",PMID_21188836,EXCLUDE,True
Maternal Filovirus Infection and Death from Marburg and Ravn Viruses: Highly Lethal to Pregnant Women and Their Fetuses Similar to Ebola Virus,DOI_ba5c9532f3dc,EXCLUDE,True
Combination therapy with remdesivir and monoclonal antibodies protects nonhuman primates against advanced Sudan virus disease,PMID_35413016,EXCLUDE,True
Emerging Filoviral Disease in Uganda: Proposed Explanations and Research Directions,PMID_24515940,EXCLUDE,True
"Marburg virus disease outbreak amid COVID-19 pandemic: an emerging concern in Ghana, West Africa",PMID_37093097,EXCLUDE,True
Development and Evaluation of a Panel of Filovirus Sequence Capture Probes for Pathogen Detection by Next-Generation Sequencing,PMID_25207553,EXCLUDE,True
"Rab9 GTPase Is Required for Replication of Human Immunodeficiency Virus Type 1, Filoviruses, and Measles Virus",PMID_16140752,EXCLUDE,True
Update on the Phylodynamic and Genetic Variability of Marburg Virus,PMID_37632063,INCLUDE,True
The Marburg Virus VP24 Protein Interacts with Keap1 to Activate the Cytoprotective Antioxidant Response Pathway,PMID_24630991,EXCLUDE,True
Nonhuman Primate Quarantine: Its Evolution and Practice,PMID_18323577,EXCLUDE,True
"Crystal Structure of Marburg Virus VP40 Reveals a Broad, Basic Patch for Matrix Assembly and a Requirement of the N-Terminal Domain for Immunosuppression",PMID_26656687,EXCLUDE,True
