title,article_id,ai4epi_fulltext_decision
Syrian Hamsters (<i>Mesocricetus auratus</i>) Oronasally Inoculated With a Nipah Virus Isolate From Bangladesh or Malaysia Develop Similar Respiratory Tract Lesions,PMID_25352203,EXCLUDE
"Pandemic potential of the Nipah virus and public health strategies adopted during outbreaks: Lessons from Kerala, India",PMID_39700307,EXCLUDE
Evidence of a Potential Receptor-Binding Site on the Nipah Virus G Protein (NiV-G): Identification of Globular Head Residues with a Role in Fusion Promotion and Their Localization on an NiV-G Structural Model,PMID_16840334,EXCLUDE
Zoonotic viruses of wildlife: hither from yon,PMID_15119758,EXCLUDE
Zoonotic Viral Diseases of Equines and Their Impact on Human and Animal Health,PMID_30288197,EXCLUDE
Rapid Identification of Emerging Infectious Agents Using PCR and Electrospray Ionization Mass Spectrometry,PMID_17470915,EXCLUDE
Nosocomial Transmission of Emerging Viruses via Aerosol-Generating Medical Procedures,PMID_31614743,EXCLUDE
Neurologic Manifestations of the World Health Organization's List of Pandemic and Epidemic Diseases,PMID_33692745,EXCLUDE
Serosurvey for Nipah virus in bat population of southern part of India,PMID_35390635,EXCLUDE
Interferon-Inducible Cholesterol-25-Hydroxylase Broadly Inhibits Viral Entry by Production of 25-Hydroxycholesterol,PMID_23273844,EXCLUDE
Origin and Evolution of Japanese Encephalitis Virus in Southeast Asia,PMID_12584335,EXCLUDE
Diagnostics for Nipah virus: a zoonotic pathogen endemic to Southeast Asia,PMID_30815286,EXCLUDE
A structural basis for antibody-mediated neutralization of Nipah virus reveals a site of vulnerability at the fusion glycoprotein apex,PMID_31767754,EXCLUDE
Hendra virus and Nipah virus animal vaccines,PMID_27154393,EXCLUDE
Recombinant vesicular stomatitis vaccine against Nipah virus has a favorable safety profile: Model for assessment of live vaccines with neurotropic potential,PMID_35759511,EXCLUDE
The pig as an amplifying host for new and emerging zoonotic viruses,PMID_35392655,EXCLUDE
Zoonotic origins of human coronaviruses,PMID_32226286,EXCLUDE
Emergence and adaptive evolution of Nipah virus,PMID_31408582,INCLUDE
Evidence for henipavirus spillover into human populations in Africa,PMID_25405640,INCLUDE
Developing vaccines against epidemic-prone emerging infectious diseases,PMID_31776599,EXCLUDE
A systematic review on Nipah virus: global molecular epidemiology and medical countermeasures development,PMID_39119137,EXCLUDE
"Nipah virus outbreak in Kerala state, India amidst of COVID-19 pandemic",DOI_46ae84821d66,EXCLUDE
Potent Henipavirus Neutralization by Antibodies Recognizing Diverse Sites on Hendra and Nipah Virus Receptor Binding Protein,PMID_33306954,EXCLUDE
Implementing One Health approaches to confront emerging and re-emerging zoonotic disease threats: lessons from PREDICT,PMID_33824944,EXCLUDE
A single amino acid substitution in the V protein of Nipah virus alters its ability to block interferon signalling in cells from different species,PMID_17098981,EXCLUDE
Vaccine Development for Nipah Virus Infection in Pigs,PMID_30778392,EXCLUDE
"Establishment of a Nipah Virus Disease Model in Hamsters, including a Comparison of Intranasal and Intraperitoneal Routes of Challenge",PMID_37623936,EXCLUDE
"Agricultural intensification, priming for persistence and the emergence of Nipah virus: a lethal bat-borne zoonosis",PMID_21632614,INCLUDE
Concern over Nipah virus cases amidst the COVID‐19 pandemic in India,PMID_35383974,EXCLUDE
Mathematical Modeling and Control Strategies for Nipah Virus Transmission Incorporating Bat-To-Pig-To-Human Pathway,DOI_325d66e3cbe7,INCLUDE
Peri-exposure protection against Nipah virus disease using a single-dose recombinant vesicular stomatitis virus-based vaccine,PMID_28706736,EXCLUDE
Evidence for Ubiquitin-Regulated Nuclear and Subnuclear Trafficking among Paramyxovirinae Matrix Proteins,PMID_25782006,EXCLUDE
Cannabis sativa: 2023-Outbreak and Re-emergence of Nipah virus (NiV) in India: Role of Hemp oil,DOI_2674b90b844e,EXCLUDE
Lethal Nipah Virus Infection Induces Rapid Overexpression of CXCL10,PMID_22393386,EXCLUDE
Nipah Virus: A Zoonotic Threat Re-Emerging in the Wake of Global Public Health Challenges,PMID_39858892,EXCLUDE
Using network theory to identify the causes of disease outbreaks of unknown origin,PMID_23389893,INCLUDE
Nipah Virus V Protein Evades Alpha and Gamma Interferons by Preventing STAT1 and STAT2 Activation and Nuclear Accumulation,PMID_12388709,EXCLUDE
Nipah Virus Infects Specific Subsets of Porcine Peripheral Blood Mononuclear Cells,PMID_22303463,EXCLUDE
ASIAN NIPAH VIRUS AND THE POTENTIAL OF NEW PANDEMIC,DOI_268629d0c379,EXCLUDE
Major zoonotic diseases of public health importance in Bangladesh,PMID_33650812,EXCLUDE
The expected economic impact of selected exotic diseases on the pig industry of Australia,PMID_11732410,INCLUDE
A survey of Nipah virus infection among various risk groups in Singapore,PMID_11895096,INCLUDE
CEPI: Driving Progress Toward Epidemic Preparedness and Response,PMID_31673694,EXCLUDE
Paramyxovirus evasion of innate immunity: Diverse strategies for common targets,PMID_24175230,EXCLUDE
Isolation and Molecular Identification of Nipah Virus from Pigs,PMID_15663869,INCLUDE
Understanding the Community Perceptions and Knowledge of Bats and Transmission of Nipah Virus in Bangladesh,PMID_33028047,INCLUDE
Mutations in the G–H loop region of ephrin-B2 can enhance Nipah virus binding and infection,PMID_21632558,EXCLUDE
N-Glycans on Nipah Virus Fusion Protein Protect against Neutralization but Reduce Membrane Fusion and Viral Entry,PMID_16641279,EXCLUDE
Late presentation of Nipah virus encephalitis and kinetics of the humoral immune response,DOI_f4b8113407cb,EXCLUDE
Henipavirus infection of the central nervous system,PMID_30985897,EXCLUDE
Learning from COVID-19 Pandemic: In Silico Vaccine and Cloning Design Against Nipah Virus by Studying and Analyzing the Whole Nipah Virus Proteome.,DOI_2dd48c0b372a,EXCLUDE
"Nipah amidst Covid-19 Pandemic, another Re-Emerging Infectious Disease of Pandemic Potential - a Narrative Review.",PMID_36032603,EXCLUDE
Peripheral immune response in the African green monkey model following Nipah-Malaysia virus exposure by intermediate-size particle aerosol,PMID_31166946,EXCLUDE
Bat Flight and Zoonotic Viruses,PMID_24750692,EXCLUDE
"Nipah Virus in the Fruit Bat Pteropus vampyrus in Sumatera, Indonesia",PMID_23894501,EXCLUDE
The Immunobiology of Nipah Virus,PMID_35744680,EXCLUDE
Predicting and designing therapeutics against the Nipah virus,PMID_31830030,EXCLUDE
Recent advances in the understanding of Nipah virus immunopathogenesis and anti-viral approaches,PMID_31656582,EXCLUDE
A recombinant VSV-vectored vaccine rapidly protects nonhuman primates against lethal Nipah virus disease,PMID_35286211,EXCLUDE
Henipavirus Immune Evasion and Pathogenesis Mechanisms: Lessons Learnt from Natural Infection and Animal Models,PMID_35632678,EXCLUDE
Polybasic KKR Motif in the Cytoplasmic Tail of Nipah Virus Fusion Protein Modulates Membrane Fusion by Inside-Out Signaling,PMID_17301148,EXCLUDE
Clinical Outcome of Henipavirus Infection in Hamsters Is Determined by the Route and Dose of Infection,PMID_21593160,EXCLUDE
Recombinant Measles Virus Vaccine Expressing the Nipah Virus Glycoprotein Protects against Lethal Nipah Virus Challenge,PMID_23516477,EXCLUDE
Inhibition of Nipah Virus Infection In Vivo: Targeting an Early Stage of Paramyxovirus Fusion Activation during Viral Entry,PMID_21060819,EXCLUDE
Scoping future outbreaks: a scoping review on the outbreak prediction of the WHO Blueprint list of priority diseases,PMID_34531189,EXCLUDE
PUBLIC HEALTH THREAT CAUSED BY ZOONOTIC DISEASES IN BANGLADESH,DOI_a20286e42d26,EXCLUDE
Nipah Virus–Another Threat From the World of Zoonotic Viruses,PMID_35145498,EXCLUDE
Animal Models for Henipavirus Research,PMID_37896758,EXCLUDE
World Health Organization High Priority Pathogens: Ophthalmic Disease Findings and Vision Health Perspectives,PMID_33917710,EXCLUDE
Unraveling a Three-Step Spatiotemporal Mechanism of Triggering of Receptor-Induced Nipah Virus Fusion and Cell Entry,PMID_24278018,EXCLUDE
Control of Nipah virus outbreak in commercial pig-farm with biosecurity and culling,DOI_121c6900edd2,INCLUDE
"Paramyxoviruses: Pathogenesis, Vaccines, Antivirals, and Prototypes for Pandemic Preparedness",PMID_37849400,EXCLUDE
Indirect ELISA based on Hendra and Nipah virus proteins for the detection of henipavirus specific antibodies in pigs,PMID_29708971,EXCLUDE
"EphrinB2 is the entry receptor for Nipah virus, an emergent deadly paramyxovirus",PMID_16007075,EXCLUDE
Paramyxovirus assembly and budding: Building particles that transmit infections,PMID_20398786,EXCLUDE
"Serologic Evidence of Nipah Virus Infection in Bats, Vietnam",PMID_22377109,EXCLUDE
Nipah Virus: A Multidimensional Update,PMID_38399954,EXCLUDE
Nipah Virus Mystery: Insight into Transmission and Mechanism of Disease Progression,DOI_e0329de6773c,EXCLUDE
Emergence of Monkeypox as the Most Important Orthopoxvirus Infection in Humans,PMID_30234087,EXCLUDE
A treatment for and vaccine against the deadly Hendra and Nipah viruses,PMID_23838047,EXCLUDE
"Emerging and re-emerging viruses in Malaysia, 1997–2007",PMID_19010076,EXCLUDE
Two Key Residues in EphrinB3 Are Critical for Its Use as an Alternative Receptor for Nipah Virus,PMID_16477309,EXCLUDE
ICTV Virus Taxonomy Profile: Paramyxoviridae,PMID_31609197,EXCLUDE
Lectin-Dependent Enhancement of Ebola Virus Infection via Soluble and Transmembrane C-type Lectin Receptors,PMID_23573288,EXCLUDE
Experimental Infection of Squirrel Monkeys with Nipah Virus,PMID_20202432,EXCLUDE
Infectious Disease Threats in the Twenty-First Century: Strengthening the Global Response,PMID_30984169,EXCLUDE
Analysis of Nipah Virus Codon Usage and Adaptation to Hosts,PMID_31156564,EXCLUDE
"Infections among Contacts of Patients with Nipah Virus, India",PMID_31002050,INCLUDE
Insights into the Recent 2019 Novel Coronavirus (SARS-CoV-2) in Light of Past Human Coronavirus Outbreaks,PMID_32143502,EXCLUDE
Evaluation of the Nipah epidemic containment and multisectoral involvement in Kerala using an appropriate management framework,DOI_0d74e6669832,EXCLUDE
Projecting vaccine demand and impact for emerging zoonotic pathogens,PMID_35705986,INCLUDE
"Antibodies to Henipavirus or Henipa-Like Viruses in Domestic Pigs in Ghana, West Africa",PMID_21966471,EXCLUDE
Ubiquitin-Regulated Nuclear-Cytoplasmic Trafficking of the Nipah Virus Matrix Protein Is Important for Viral Budding,PMID_21085610,EXCLUDE
Loss in lung volume and changes in the immune response demonstrate disease progression in African green monkeys infected by small-particle aerosol and intratracheal exposure to Nipah virus,PMID_28388650,EXCLUDE
Duration of Maternal Antibodies against Canine Distemper Virus and Hendra Virus in Pteropid Bats,PMID_23826322,EXCLUDE
"Zoonotic Diseases: Etiology, Impact, and Control",PMID_32932606,EXCLUDE
"Multifaceted Functions of CH25H and 25HC to Modulate the Lipid Metabolism, Immune Responses, and Broadly Antiviral Activities",PMID_32640529,EXCLUDE
Cell Culture and Electron Microscopy for Identifying Viruses in Diseases of Unknown Cause,PMID_23731788,EXCLUDE
Nipah virus outbreak trends in Bangladesh during the period 2001 to 2024: a brief review,PMID_40026914,EXCLUDE
Emerging viral diseases,PMID_11035785,EXCLUDE
Exploring the Human-Nipah Virus Protein-Protein Interactome,PMID_28904190,EXCLUDE
Henipaviruses—A constant threat to livestock and humans,DOI_8e8db7926ba6,EXCLUDE
A clinico-epidemiological study of the first outbreak of Nipah virus in India – report from ground zero,DOI_9072f43b7e46,INCLUDE
The Ecology of Nipah Virus in Bangladesh: A Nexus of Land-Use Change and Opportunistic Feeding Behavior in Bats,PMID_33498685,INCLUDE
"Current Status of Epidemiology, Diagnosis, Therapeutics, and Vaccines for Novel Coronavirus Disease 2019 (COVID-19)",PMID_32238757,EXCLUDE
Evaluation of transmission risks associated with in vivo replication of several high containment pathogens in a biosafety level 4 laboratory,PMID_25059478,EXCLUDE
Alterations in Blood Chemistry Levels Associated With Nipah Virus Disease in the Syrian Hamster Model,PMID_31747016,INCLUDE
Chimeric Fusion (F) and Attachment (G) Glycoprotein Antigen Delivery by mRNA as a Candidate Nipah Vaccine,PMID_34956199,EXCLUDE
Fiebre chikungunya - Una nueva amenaza global,PMID_25087211,EXCLUDE
Nipah Virus Outbreaks in Kerala: An Impending Doom?,PMID_39534862,EXCLUDE
Crystal Structure of the Pre-fusion Nipah Virus Fusion Glycoprotein Reveals a Novel Hexamer-of-Trimers Assembly,PMID_26646856,EXCLUDE
The Killer Virus Called Nipah: A Review,PMID_30416895,EXCLUDE
A Randomized Controlled Trial of Interventions to Impede Date Palm Sap Contamination by Bats to Prevent Nipah Virus Transmission in Bangladesh,PMID_22905160,EXCLUDE
A Novel Model of Lethal Hendra Virus Infection in African Green Monkeys and the Effectiveness of Ribavirin Treatment,PMID_20660198,EXCLUDE
Architecture and antigenicity of the Nipah virus attachment glycoprotein,PMID_35239409,EXCLUDE
Potent Neutralization of Hendra and Nipah Viruses by Human Monoclonal Antibodies,PMID_16378991,EXCLUDE
Rapid detection of Nipah virus using the one-pot RPA-CRISPR/Cas13a assay,PMID_37178792,INCLUDE
"Bushmeat Hunting, Deforestation, and Prediction of Zoonotic Disease",PMID_16485465,EXCLUDE
Single-dose live-attenuated Nipah virus vaccines confer complete protection by eliciting antibodies directed against surface glycoproteins,PMID_24631094,EXCLUDE
EphrinB2 clustering by Nipah virus G is required to activate and trap F intermediates at supported lipid bilayer–cell interfaces,PMID_33571127,EXCLUDE
Identifying Reservoirs of Infection: A Conceptual and Practical Challenge,PMID_12498665,EXCLUDE
Human Coronaviruses and Other Respiratory Viruses: Underestimated Opportunistic Pathogens of the Central Nervous System?,PMID_31861926,EXCLUDE
Mapping the distribution of Nipah virus infections: a geospatial modelling analysis,PMID_38969474,INCLUDE
Nipah Virus: An Emergent Deadly Paramyxovirus Infection In Bangladesh,DOI_214b0a568bc8,EXCLUDE
Strategic Development of a Next-Generation Multi-Epitope Vaccine To Prevent Nipah Virus Zoonotic Infection,PMID_31460434,EXCLUDE
A review of mechanistic models of viral dynamics in bat reservoirs for zoonotic disease,PMID_33185145,EXCLUDE
Nipah Virus Uses Leukocytes for Efficient Dissemination within a Host,PMID_21593145,EXCLUDE
Potential for Person-to-Person Transmission of Henipaviruses: A Systematic Review of the Literature,PMID_37925626,EXCLUDE
Rapid Creation of an Online Discussion Space (r/nipah) During a Serious Disease Outbreak: Observational Study,PMID_31719021,EXCLUDE
"Nipah Virus V and W Proteins Have a Common STAT1-Binding Domain yet Inhibit STAT1 Activation from the Cytoplasmic and Nuclear Compartments, Respectively",PMID_15140960,EXCLUDE
Novel Innate Immune Functions for Galectin-1: Galectin-1 Inhibits Cell Fusion by Nipah Virus Envelope Glycoproteins and Augments Dendritic Cell Secretion of Proinflammatory Cytokines,PMID_15972675,EXCLUDE
Viral Evasion of the Complement System and Its Importance for Vaccines and Therapeutics,PMID_32733480,EXCLUDE
Novel transcription and replication-competent virus-like particles system modelling the Nipah virus life cycle,PMID_38865205,EXCLUDE
Emerging Nipah Virus With Pandemic Potential and High Mortality Rates: Is the Scientific Community Learning From Former Pandemics?,PMID_40044492,EXCLUDE
"Initiation, extension, and termination of RNA synthesis by a paramyxovirus polymerase",PMID_29425244,EXCLUDE
The current and future global distribution and population at risk of dengue,PMID_31182801,EXCLUDE
Raw Sap Consumption Habits and Its Association with Knowledge of Nipah Virus in Two Endemic Districts in Bangladesh,PMID_26551202,INCLUDE
Response of the health system in Nipah outbreak in Ernakulam district,PMID_34760757,EXCLUDE
A recombinant subunit vaccine formulation protects against lethal Nipah virus challenge in cats,PMID_18556094,EXCLUDE
Exceptionally Potent Cross-Reactive Neutralization of Nipah and Hendra Viruses by a Human Monoclonal Antibody,PMID_18271743,EXCLUDE
A comparative genomic approach to decipher the mutations associated with Nipah viral human isolates from southeast Asia,PMID_38682059,INCLUDE
<i>Praemonitus praemunitus</i>: can we forecast and prepare for future viral disease outbreaks?,PMID_37596064,EXCLUDE
Bat origin of human coronaviruses,PMID_26689940,EXCLUDE
The immunomodulating V and W proteins of Nipah virus determine disease course,PMID_26105519,EXCLUDE
Nipah virus outbreak in India: is it a bat-man conflict?,DOI_80486f6c0324,EXCLUDE
Multiple Novel Functions of Henipavirus O-glycans: The First O-glycan Functions Identified in the Paramyxovirus Family,PMID_26867212,EXCLUDE
Nipah Virus Bangladesh Infection Elicits Organ-Specific Innate and Inflammatory Responses in the Marmoset Model,PMID_36869692,EXCLUDE
Going to Bat(s) for Studies of Disease Tolerance,PMID_30294323,EXCLUDE
"Ebola, COVID-19, and emerging infectious disease: lessons learned and future preparedness",PMID_32740063,EXCLUDE
"Nipah outbreak in Kerala, South India: Ethical challenges in the deployment of healthcare workers",PMID_34018957,INCLUDE
Paramyxovirus Fusion and Entry: Multiple Paths to a Common End,PMID_22590688,EXCLUDE
"Exposing Nipah virus: an epidemiological study of another thread in Kerala, South India",DOI_67cabe078bc3,EXCLUDE
Differential Innate Immune Responses Elicited by Nipah Virus and Cedar Virus Correlate with Disparate In Vivo Pathogenesis in Hamsters,PMID_30909389,EXCLUDE
Vaccines and Animal Models of Nipah Virus: Current Situation and Future Prospects,PMID_40573939,EXCLUDE
Bat Coronaviruses in China,PMID_30832341,EXCLUDE
Immunological characteristics govern the transition of COVID-19 to endemicity,PMID_33436525,EXCLUDE
Increased human-animal interface &amp; emerging zoonotic diseases,PMID_34643566,EXCLUDE
The Evolution and Genetics of Virus Host Shifts,PMID_25375777,EXCLUDE
The Role of Landscape Composition and Configuration on Pteropus giganteus Roosting Ecology and Nipah Virus Spillover Risk in Bangladesh,PMID_24323516,INCLUDE
"Henipavirus zoonosis: outbreaks, animal hosts and potential new emergence",DOI_abed4a74ee7b,EXCLUDE
Inhibition of SARS-CoV-2 (previously 2019-nCoV) infection by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein that harbors a high capacity to mediate membrane fusion,PMID_32231345,EXCLUDE
Establishment of a Nipah virus rescue system,PMID_17053073,EXCLUDE
Curbing Future Nipah Outbreaks in India with a Sustainable One Health Approach,DOI_d4c0c699ba7c,EXCLUDE
Vaccine Potential of Nipah Virus-Like Particles,PMID_21494680,EXCLUDE
Bats in ecosystems and their Wide spectrum of viral infectious potential threats: SARS-CoV-2 and other emerging viruses,PMID_32829048,EXCLUDE
"Nipah Virus: A Zoonotic Virus Transmitted from Bats and Pigs, Causing an Epidemic in Southeast Asia",DOI_875f44998d41,EXCLUDE
Feral Cats and Risk for Nipah Virus Transmission,PMID_16848051,EXCLUDE
Exact calculation of end-of-outbreak probabilities using contact tracing data,PMID_38086402,INCLUDE
Organotypic brain slices as a model to study the neurotropism of the highly pathogenic Nipah and Ebola viruses,PMID_39466030,EXCLUDE
Study of Fractional Order Dynamical System of Viral Infection Disease under Piecewise Derivative,DOI_e38a0cadfd50,INCLUDE
"Enhanced surveillance and response approaches for pilgrims and local Saudi populations against emerging Nipah, Zika and Ebola viral diseases outbreaks threats",PMID_32265162,EXCLUDE
Human Factors Considerations for Computer-Based Training,DOI_40b107d0dd77,EXCLUDE
Mathematical Analysis of Nipah Virus Infections Using Optimal Control Theory,DOI_379820682087,INCLUDE
Emerging Nipah virus encephalitis and its modeling,DOI_2d2c68ecdef5,EXCLUDE
"Isolation and Full-Genome Characterization of Nipah Viruses from Bats, Bangladesh",DOI_2de678292863,EXCLUDE
Distinct VSV-based Nipah virus vaccines expressing either glycoprotein G or fusion protein F provide homologous and heterologous protection in a nonhuman primate model,PMID_36508878,EXCLUDE
Nipah pseudovirus system enables evaluation of vaccines <i>in vitro</i> and <i>in vivo</i> using non-BSL-4 facilities,PMID_30866781,EXCLUDE
